time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-19T10:01:09.600Z,35.6155,-116.3005,0.7,2.58,ml,22,52,0.2842,0.14,ci,ci37665024,2016-08-19T17:03:18.260Z,"27km SSW of Tecopa, CA",earthquake,0.18,0.87,0.172,43,reviewed,ci,ci
2016-08-19T10:00:25.720Z,-55.0652,-31.6786,10,4.9,mb,,112,2.9,0.86,us,us10006ez3,2016-08-19T13:20:54.040Z,"South Georgia Island region",earthquake,7.3,1.9,0.092,37,reviewed,us,us
2016-08-19T09:54:27.400Z,18.0359,-68.5295,81,3,Md,5,219.6,0.49587004,0.5,pr,pr16232003,2016-08-19T12:46:37.858Z,"38km SSE of Boca de Yuma, Dominican Republic",earthquake,9.6,7.5,0,4,reviewed,pr,pr
2016-08-19T09:49:10.990Z,-17.0238,-72.3213,44.54,4.9,mb,,139,2.314,0.88,us,us10006eyx,2016-08-19T14:23:36.123Z,"32km W of Mollendo, Peru",earthquake,4.3,7,0.035,252,reviewed,us,us
2016-08-19T08:50:36.000Z,62.1184,-143.8998,5,2.5,ml,,,,0.06,ak,ak13852124,2016-08-19T08:59:35.156Z,"72km NNE of Chitina, Alaska",earthquake,0.9,,,,automatic,ak,ak
2016-08-19T08:32:51.160Z,-55.3016,-30.8287,10,5,mb,,97,3.431,0.76,us,us10006eyj,2016-08-19T09:07:36.040Z,"274km WNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.5,1.9,0.089,41,reviewed,us,us
2016-08-19T08:21:02.900Z,-55.3003,-31.2516,10,5.2,mb,,65,3.198,0.86,us,us10006eyg,2016-08-19T08:37:18.040Z,"296km WNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10,1.9,0.078,54,reviewed,us,us
2016-08-19T08:13:36.400Z,-55.8054,-31.0784,10,5.2,mb,,121,3.465,0.68,us,us10006eyc,2016-08-19T08:30:08.040Z,"260km WNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.6,1.9,0.092,39,reviewed,us,us
2016-08-19T07:57:26.000Z,59.6286,-147.626,40,2.6,ml,,,,0.82,ak,ak13852081,2016-08-19T08:13:05.068Z,"76km WNW of Middleton Island, Alaska",earthquake,3.8,194.5,,,automatic,ak,ak
2016-08-19T07:54:53.980Z,-54.9628,-31.3406,10,5.2,mb,,91,3.069,0.8,us,us10006ey3,2016-08-19T08:10:56.040Z,"South Georgia Island region",earthquake,5.6,1.9,0.091,40,reviewed,us,us
2016-08-19T07:46:40.030Z,-55.1699,-31.8864,10,5.3,mb,,113,2.812,0.86,us,us10006eyf,2016-08-19T08:33:50.040Z,"South Georgia Island region",earthquake,9.5,1.8,0.094,38,reviewed,us,us
2016-08-19T07:32:22.730Z,-55.2793,-31.874,10,7.4,mww,,22,2.852,0.78,us,us10006exl,2016-08-19T16:22:35.920Z,"South Georgia Island region",earthquake,8.4,1.8,,,reviewed,us,us
2016-08-19T05:59:24.100Z,-20.5743,-68.9516,110.43,4.7,mb,,40,0.684,1.33,us,us10006exb,2016-08-19T06:17:45.040Z,"130km ESE of Iquique, Chile",earthquake,5.4,5.7,0.108,26,reviewed,us,us
2016-08-19T04:55:02.650Z,-33.6494,-178.4735,16.45,4.9,mb,,108,4.415,0.86,us,us10006ex2,2016-08-19T05:21:45.040Z,"249km S of L'Esperance Rock, New Zealand",earthquake,9.6,4.5,0.103,30,reviewed,us,us
2016-08-19T03:54:50.100Z,19.6182,-68.8322,30,3.4,Md,12,255.6,0.46712395,0.46,pr,pr16232000,2016-08-19T09:06:42.940Z,"69km NE of Santa Barbara de Samana, Dominican Republic",earthquake,2.5,7,0,11,reviewed,pr,pr
2016-08-18T23:39:31.000Z,57.2772,-154.2568,30,2.6,ml,,,,0.13,ak,ak13850976,2016-08-19T00:55:58.040Z,"33km SSW of Larsen Bay, Alaska",earthquake,0.5,0.5,,,automatic,ak,ak
2016-08-18T23:36:11.120Z,-23.9166,-66.866,206.4,4.4,mb,,40,1.541,1.15,us,us10006evu,2016-08-18T23:56:58.040Z,"64km WNW of San Antonio de los Cobres, Argentina",earthquake,7.6,9,0.18,9,reviewed,us,us
2016-08-18T23:05:05.400Z,36.2635,-97.6848,5,2.7,mb_lg,,30,0.131,0.62,us,us10006evm,2016-08-19T02:43:20.674Z,"19km E of Waukomis, Oklahoma",earthquake,1.2,0.7,0.071,52,reviewed,us,us
2016-08-18T22:51:38.440Z,16.3896,-98.2701,44.83,4.6,mb,,190,3.049,0.93,us,us10006evg,2016-08-18T23:46:11.040Z,"17km ESE of Cuajinicuilapa, Mexico",earthquake,5.8,10.4,0.034,262,reviewed,us,us
2016-08-18T22:11:08.000Z,18.8075,-67.2827,11,2.6,Md,13,216,0.37459747,0.46,pr,pr16231013,2016-08-18T22:27:18.466Z,"39km NNW of San Antonio, Puerto Rico",earthquake,1.5,2,0,11,reviewed,pr,pr
2016-08-18T20:10:15.980Z,6,127.061,111.64,4.6,mb,,117,1.815,0.74,us,us10006eu8,2016-08-18T23:38:16.040Z,"105km ESE of Pondaguitan, Philippines",earthquake,7.7,7.6,0.085,41,reviewed,us,us
2016-08-18T18:49:43.900Z,-55.7838,-123.2919,10,5.1,mb,,50,29.617,0.76,us,us10006ew5,2016-08-19T21:56:29.040Z,"Southern East Pacific Rise",earthquake,13.6,1.8,0.082,49,reviewed,us,us
2016-08-18T18:09:43.000Z,-55.9195,-123.197,4.63,5.9,mwb,,50,27.877,1,us,us10006esj,2016-08-19T00:57:11.000Z,"Southern East Pacific Rise",earthquake,11,2.8,0.065,23,reviewed,us,us
