depth,mag,magType,nst,gap,dmin,,,,,place,,horizontalError,depthError,magError,magNst
56,2.1,Md,5,270,0.54707401,,,,,"61km N of Charlotte Amalie, U.S. Virgin Islands",,6.1,7.7,0,5
43,2.9,Md,14,255.6,0.62522744,,,,,"70km N of Charlotte Amalie, U.S. Virgin Islands",,3.6,8.2,0,12
1.21,1,ml,9,100,0.1601,,,,,"18km NE of Olancha, CA",,0.25,1.01,0.154,4
-0.28,1.35,md,4,159,0.1662,,,,,"19km WSW of Vernonia, Oregon",,1.02,31.61,,1
3.74,4.4,mb,,129,0.847,,,,,"15km NNE of Kitaibaraki, Japan",,2.8,5.2,0.156,13
8.1,4.1,ml,,,,,,,,"103km NNE of Chignik Lake, Alaska",,0.4,0.2,,
1.57,0.75,md,10,67,0.01118,,,,,"4km WNW of Cobb, California",,0.39,0.63,0.14,4
10.2,0.4,ml,5,223.14,0.211,,,,,"11km NNE of Incline Village, Nevada",,,5.6,0.11,2
-1,1.5,ml,20,80,0.2608,,,,,"16km NNE of Apple Valley, CA",,0.6,31.61,0.147,24
21.19,1.45,ml,23,71,0.06039,,,,,"0km NNW of Lakeland South, Washington",,0.38,0.62,0.142,22
80,1.9,ml,,,,,,,,"64km WSW of Anchor Point, Alaska",,0.4,0.5,,
-0.49,1.1,ml,30,48,0.04816,,,,,"8km N of Murrieta Hot Springs, CA",,0.38,31.61,0.315,9
27.74,4.8,mb,,72,2.609,,,,,"104km NNE of Hirara, Japan",,3,5.5,0.061,84
-0.84,1.31,ml,31,37,0.1173,,,,,"7km SSW of Mojave, CA",,0.42,31.61,0.103,19
24.09,3.05,ml,25,219,0.1654,,,,,"6km SW of Alberto Oviedo Mota, B.C., MX",,1.09,0.87,0.188,131
6.1,3,ml,32,39.27,0.376,,,,,"73km NNE of Dixon Lane-Meadow Creek, California",,,2.1,0.37,10
15.82,0.81,ml,16,138,0.09796,,,,,"8km NW of Idyllwild, CA",,0.32,0.53,0.12,15
1.02,0.36,ml,7,116,0.1658,,,,,"16km SSE of Bodfish, CA",,0.56,1.46,0.135,5
25.33,4.3,mwr,,78,0.341,,,,,"36km W of San Antonio, Chile",,2.9,4.9,0.041,56
2.73,0.54,ml,12,99,0.03812,,,,,"32km NNW of Searles Valley, CA",,0.22,0.7,0.06,6
5,1.2,ml,,,,,,,,"57km NW of Circle Hot Springs Station, Alaska",,0.4,0.4,,
5.38,1.2,ml,18,93,0.03105,,,,,"3km W of Monterey Park, CA",,0.33,0.45,0.207,11
15.28,0.99,ml,28,96,0.114,,,,,"2km NNE of Colton, CA",,0.19,0.29,0.143,14
52,2.3,Md,4,280.8,0.58839651,,,,,"66km N of Charlotte Amalie, U.S. Virgin Islands",,6.6,9.6,0,4
12.29,5.1,mwr,,139,1.559,,,,,"113km WNW of Iquique, Chile",,4.3,3.9,0.045,47
5.98,2.6,ml,18,215,0.1514,,,,,"6km W of Alberto Oviedo Mota, B.C., MX",,1.31,31.61,0.153,49
11.61,0.63,ml,20,133,0.06531,,,,,"18km ESE of Anza, CA",,0.36,0.53,0.104,16
5,0.2,ml,23,144.47,0.037,,,,,"69km E of Beatty, Nevada",,,1.4,0.35,10
14.74,4.7,mwr,,138,0.967,,,,,"103km WNW of Iquique, Chile",,4.8,4,0.044,49
